combo,replication,week,price,sales,remain_invent
5,1,9,60,112,1303.0
5,1,10,60,75,1228.0
5,1,11,60,128,1100.0
5,1,12,60,81,1019.0
5,1,13,60,85,934.0
5,1,14,54,117,817.0
5,1,15,48,51,766.0
5,1,16,72726,96960,0.2499381188118812
6,0,1,60,92,1908.0
6,0,2,60,85,1823.0
6,0,3,60,109,1714.0
6,0,4,60,70,1644.0
6,0,5,60,112,1532.0
6,0,6,60,129,1403.0
6,0,7,60,105,1298.0
6,0,8,60,90,1208.0
6,0,9,60,105,1103.0
6,0,10,60,108,995.0
6,0,11,60,57,938.0
6,0,12,60,115,823.0
6,0,13,60,104,719.0
6,0,14,54,76,643.0
6,0,15,36,242,401.0
6,0,16,89676,104220,0.1395509499136442
6,1,1,60,78,1922.0
6,1,2,60,63,1859.0
6,1,3,60,64,1795.0
6,1,4,60,57,1738.0
6,1,5,60,109,1629.0
6,1,6,60,70,1559.0
6,1,7,60,74,1485.0
6,1,8,60,70,1415.0
6,1,9,60,51,1364.0
6,1,10,60,115,1249.0
6,1,11,60,86,1163.0
6,1,12,60,99,1064.0
6,1,13,60,83,981.0
6,1,14,54,100,881.0
6,1,15,36,210,671.0
6,1,16,74100,96600,0.2329192546583851
7,0,1,60,98,1902.0
7,0,2,60,75,1827.0
7,0,3,60,74,1753.0
7,0,4,60,98,1655.0
7,0,5,60,81,1574.0
7,0,6,60,160,1414.0
7,0,7,60,104,1310.0
7,0,8,60,59,1251.0
7,0,9,60,62,1189.0
7,0,10,60,65,1124.0
7,0,11,60,134,990.0
7,0,12,60,93,897.0
7,0,13,60,83,814.0
7,0,14,48,165,649.0
7,0,15,48,207,442.0
7,0,16,89016,103572,0.1405399142625419
7,1,1,60,73,1927.0
7,1,2,60,58,1869.0
7,1,3,60,65,1804.0
7,1,4,60,112,1692.0
7,1,5,60,86,1606.0
7,1,6,60,68,1538.0
7,1,7,60,102,1436.0
7,1,8,60,45,1391.0
7,1,9,60,48,1343.0
7,1,10,60,86,1257.0
7,1,11,60,95,1162.0
7,1,12,60,82,1080.0
7,1,13,60,42,1038.0
7,1,14,48,132,906.0
7,1,15,48,133,773.0
7,1,16,70440,93216,0.2443357363542739
8,0,1,60,110,1890.0
8,0,2,60,116,1774.0
8,0,3,60,76,1698.0
8,0,4,60,132,1566.0
8,0,5,60,101,1465.0
8,0,6,60,97,1368.0
8,0,7,60,109,1259.0
8,0,8,60,116,1143.0
8,0,9,60,105,1038.0
8,0,10,60,138,900.0
8,0,11,60,139,761.0
8,0,12,60,148,613.0
8,0,13,60,88,525.0
8,0,14,48,170,355.0
8,0,15,36,238,117.0
8,0,16,105228,110940,0.0514872904272579
8,1,1,60,104,1896.0
8,1,2,60,88,1808.0
8,1,3,60,88,1720.0
8,1,4,60,167,1553.0
8,1,5,60,131,1422.0
8,1,6,60,82,1340.0
8,1,7,60,93,1247.0
8,1,8,60,121,1126.0
8,1,9,60,89,1037.0
8,1,10,60,101,936.0
8,1,11,60,135,801.0
8,1,12,60,140,661.0
8,1,13,60,68,593.0
8,1,14,48,193,400.0
8,1,15,36,285,115.0
8,1,16,103944,109746,0.0528675304794707
9,0,1,60,127,1873.0
9,0,2,60,112,1761.0
9,0,3,60,175,1586.0
9,0,4,60,161,1425.0
9,0,5,60,100,1325.0
9,0,6,60,127,1198.0
9,0,7,60,98,1100.0
9,0,8,60,93,1007.0
9,0,9,60,144,863.0
9,0,10,60,152,711.0
9,0,11,60,120,591.0
9,0,12,60,197,394.0
9,0,13,60,113,281.0
9,0,14,36,281,0.0
9,0,15,36,0,0.0
9,0,16,113256,118956,0.0479168768284071
9,1,1,60,43,1957.0
9,1,2,60,62,1895.0
9,1,3,60,52,1843.0
9,1,4,60,50,1793.0
9,1,5,60,62,1731.0
9,1,6,60,50,1681.0
9,1,7,60,59,1622.0
9,1,8,60,49,1573.0
9,1,9,60,33,1540.0
9,1,10,60,47,1493.0
9,1,11,60,18,1475.0
9,1,12,60,50,1425.0
9,1,13,60,21,1404.0
9,1,14,36,138,1266.0
9,1,15,36,151,1115.0
9,1,16,46164,68676,0.3278001048401188
10,0,1,60,82,1918.0
10,0,2,60,86,1832.0
10,0,3,60,95,1737.0
10,0,4,60,60,1677.0
10,0,5,60,72,1605.0
10,0,6,60,91,1514.0
10,0,7,60,83,1431.0
10,0,8,60,105,1326.0
10,0,9,60,65,1261.0
10,0,10,60,86,1175.0
10,0,11,60,136,1039.0
10,0,12,60,52,987.0
10,0,13,54,63,924.0
10,0,14,54,129,795.0
10,0,15,54,54,741.0
10,0,16,74064,97656,0.241582698451708
10,1,1,60,66,1934.0
10,1,2,60,60,1874.0
10,1,3,60,85,1789.0
10,1,4,60,69,1720.0
10,1,5,60,80,1640.0
10,1,6,60,90,1550.0
10,1,7,60,108,1442.0
10,1,8,60,67,1375.0
10,1,9,60,62,1313.0
10,1,10,60,67,1246.0
10,1,11,60,68,1178.0
10,1,12,60,38,1140.0
10,1,13,54,67,1073.0
10,1,14,54,92,981.0
10,1,15,54,58,923.0
10,1,16,63318,88188,0.2820111579806776
11,0,1,60,85,1915.0
11,0,2,60,79,1836.0
11,0,3,60,57,1779.0
11,0,4,60,66,1713.0
11,0,5,60,75,1638.0
11,0,6,60,113,1525.0
11,0,7,60,104,1421.0
11,0,8,60,106,1315.0
11,0,9,60,98,1217.0
11,0,10,60,118,1099.0
11,0,11,60,92,1007.0
11,0,12,60,99,908.0
11,0,13,54,116,792.0
11,0,14,54,87,705.0
11,0,15,48,184,521.0
11,0,16,85314,102036,0.1638833352934258
11,1,1,60,97,1903.0
11,1,2,60,131,1772.0
11,1,3,60,57,1715.0
11,1,4,60,88,1627.0
11,1,5,60,126,1501.0
11,1,6,60,84,1417.0
11,1,7,60,86,1331.0
11,1,8,60,114,1217.0
11,1,9,60,72,1145.0
11,1,10,60,172,973.0
11,1,11,60,126,847.0
11,1,12,60,88,759.0
11,1,13,54,142,617.0
11,1,14,54,81,536.0
11,1,15,48,151,385.0
11,1,16,93750,106338,0.1183772499012582
12,0,1,60,62,1938.0
12,0,2,60,59,1879.0
12,0,3,60,59,1820.0
12,0,4,60,59,1761.0
12,0,5,60,64,1697.0
12,0,6,60,53,1644.0
12,0,7,60,99,1545.0
12,0,8,60,81,1464.0
12,0,9,60,56,1408.0
12,0,10,60,61,1347.0
12,0,11,60,65,1282.0
12,0,12,60,66,1216.0
12,0,13,54,115,1101.0
12,0,14,54,55,1046.0
12,0,15,36,174,872.0
12,0,16,62484,85896,0.2725621682034087
12,1,1,60,71,1929.0
12,1,2,60,63,1866.0
12,1,3,60,45,1821.0
12,1,4,60,64,1757.0
12,1,5,60,62,1695.0
12,1,6,60,60,1635.0
12,1,7,60,47,1588.0
12,1,8,60,92,1496.0
12,1,9,60,100,1396.0
12,1,10,60,95,1301.0
12,1,11,60,65,1236.0
12,1,12,60,93,1143.0
12,1,13,54,79,1064.0
12,1,14,54,99,965.0
12,1,15,36,201,764.0
12,1,16,68268,90372,0.2445890320010623
13,0,1,60,27,1973.0
13,0,2,60,17,1956.0
13,0,3,60,36,1920.0
13,0,4,60,30,1890.0
13,0,5,60,28,1862.0
13,0,6,60,27,1835.0
13,0,7,60,23,1812.0
13,0,8,60,31,1781.0
13,0,9,60,26,1755.0
13,0,10,60,39,1716.0
13,0,11,60,26,1690.0
13,0,12,60,24,1666.0
13,0,13,54,33,1633.0
13,0,14,48,49,1584.0
13,0,15,48,42,1542.0
13,0,16,26190,40392,0.3516042780748662
13,1,1,60,62,1938.0
13,1,2,60,76,1862.0
13,1,3,60,72,1790.0
13,1,4,60,53,1737.0
13,1,5,60,78,1659.0
13,1,6,60,41,1618.0
13,1,7,60,30,1588.0
13,1,8,60,81,1507.0
13,1,9,60,48,1459.0
13,1,10,60,47,1412.0
13,1,11,60,82,1330.0
13,1,12,60,65,1265.0
13,1,13,54,60,1205.0
13,1,14,48,132,1073.0
13,1,15,48,111,962.0
13,1,16,59004,82572,0.2854236302862956
14,0,1,60,99,1901.0
14,0,2,60,114,1787.0
14,0,3,60,82,1705.0
14,0,4,60,52,1653.0
14,0,5,60,56,1597.0
14,0,6,60,147,1450.0
14,0,7,60,90,1360.0
14,0,8,60,109,1251.0
14,0,9,60,109,1142.0
14,0,10,60,136,1006.0
14,0,11,60,109,897.0
14,0,12,60,78,819.0
14,0,13,54,146,673.0
14,0,14,48,136,537.0
14,0,15,36,225,312.0
14,0,16,93372,105000,0.1107428571428571
14,1,1,60,75,1925.0
14,1,2,60,12,1913.0
14,1,3,60,80,1833.0
14,1,4,60,81,1752.0
14,1,5,60,69,1683.0
14,1,6,60,58,1625.0
14,1,7,60,87,1538.0
14,1,8,60,52,1486.0
14,1,9,60,101,1385.0
14,1,10,60,50,1335.0
14,1,11,60,57,1278.0
14,1,12,60,55,1223.0
14,1,13,54,109,1114.0
14,1,14,48,134,980.0
14,1,15,36,174,806.0
14,1,16,65202,86724,0.248166597481666
15,0,1,60,94,1906.0
15,0,2,60,98,1808.0
15,0,3,60,122,1686.0
15,0,4,60,54,1632.0
15,0,5,60,86,1546.0
15,0,6,60,128,1418.0
15,0,7,60,72,1346.0
15,0,8,60,96,1250.0
15,0,9,60,107,1143.0
15,0,10,60,74,1069.0
15,0,11,60,90,979.0
15,0,12,60,103,876.0
15,0,13,54,103,773.0
15,0,14,36,300,473.0
15,0,15,36,273,200.0
15,0,16,93630,103674,0.0968806065165808
15,1,1,60,101,1899.0
15,1,2,60,88,1811.0
15,1,3,60,102,1709.0
15,1,4,60,142,1567.0
15,1,5,60,44,1523.0
15,1,6,60,71,1452.0
15,1,7,60,124,1328.0
15,1,8,60,129,1199.0
15,1,9,60,106,1093.0
15,1,10,60,66,1027.0
15,1,11,60,112,915.0
15,1,12,60,81,834.0
15,1,13,54,221,613.0
15,1,14,36,338,275.0
15,1,15,36,212,63.0
15,1,16,101694,107598,0.0548709083811966
16,0,1,60,92,1908.0
16,0,2,60,89,1819.0
16,0,3,60,79,1740.0
16,0,4,60,63,1677.0
16,0,5,60,112,1565.0
16,0,6,60,102,1463.0
16,0,7,60,109,1354.0
16,0,8,60,99,1255.0
16,0,9,60,20,1235.0
16,0,10,60,133,1102.0
16,0,11,60,104,998.0
16,0,12,60,33,965.0
16,0,13,48,118,847.0
16,0,14,48,234,613.0
16,0,15,48,182,431.0
16,0,16,87732,101640,0.1368358913813459
16,1,1,60,94,1906.0
16,1,2,60,92,1814.0
16,1,3,60,106,1708.0
16,1,4,60,55,1653.0
16,1,5,60,89,1564.0
16,1,6,60,107,1457.0
16,1,7,60,99,1358.0
16,1,8,60,77,1281.0
16,1,9,60,88,1193.0
16,1,10,60,96,1097.0
16,1,11,60,85,1012.0
16,1,12,60,83,929.0
16,1,13,48,224,705.0
16,1,14,48,191,514.0
16,1,15,48,152,362.0
16,1,16,91476,103434,0.1156099541736759
17,0,1,60,116,1884.0
17,0,2,60,83,1801.0
17,0,3,60,148,1653.0
17,0,4,60,77,1576.0
17,0,5,60,121,1455.0
17,0,6,60,130,1325.0
17,0,7,60,142,1183.0
17,0,8,60,177,1006.0
17,0,9,60,98,908.0
17,0,10,60,112,796.0
17,0,11,60,130,666.0
17,0,12,60,145,521.0
17,0,13,48,266,255.0
17,0,14,48,215,40.0
17,0,15,36,40,0.0
17,0,16,113268,117048,0.0322944433053106
17,1,1,60,71,1929.0
17,1,2,60,23,1906.0
17,1,3,60,62,1844.0
17,1,4,60,108,1736.0
17,1,5,60,84,1652.0
17,1,6,60,118,1534.0
17,1,7,60,88,1446.0
17,1,8,60,39,1407.0
17,1,9,60,45,1362.0
17,1,10,60,41,1321.0
17,1,11,60,52,1269.0
17,1,12,60,93,1176.0
17,1,13,48,38,1138.0
17,1,14,48,110,1028.0
17,1,15,36,344,684.0
17,1,16,68928,88524,0.2213636979802087
18,0,1,60,162,1838.0
18,0,2,60,135,1703.0
18,0,3,60,151,1552.0
18,0,4,60,150,1402.0
18,0,5,60,183,1219.0
18,0,6,60,165,1054.0
18,0,7,60,177,877.0
18,0,8,60,156,721.0
18,0,9,60,155,566.0
18,0,10,60,121,445.0
18,0,11,60,126,319.0
18,0,12,60,176,143.0
18,0,13,48,143,0.0
18,0,14,48,0,0.0
18,0,15,48,0,0.0
18,0,16,118284,120000,0.0142999999999999
18,1,1,60,68,1932.0
18,1,2,60,73,1859.0
18,1,3,60,69,1790.0
18,1,4,60,34,1756.0
18,1,5,60,62,1694.0
18,1,6,60,64,1630.0
18,1,7,60,114,1516.0
18,1,8,60,43,1473.0
18,1,9,60,83,1390.0
18,1,10,60,89,1301.0
18,1,11,60,63,1238.0
18,1,12,60,81,1157.0
18,1,13,48,164,993.0
18,1,14,36,253,740.0
18,1,15,36,133,607.0
18,1,16,72348,90888,0.2039873250594137
19,0,1,60,72,1928.0
19,0,2,60,60,1868.0
19,0,3,60,64,1804.0
19,0,4,60,89,1715.0
19,0,5,60,95,1620.0
19,0,6,60,74,1546.0
19,0,7,60,79,1467.0
19,0,8,60,76,1391.0
19,0,9,60,106,1285.0
19,0,10,60,57,1228.0
19,0,11,60,75,1153.0
19,0,12,60,99,1054.0
19,0,13,36,244,810.0
19,0,14,36,207,603.0
19,0,15,36,237,366.0
19,0,16,81528,97326,0.1623204488009371
19,1,1,60,119,1881.0
19,1,2,60,112,1769.0
19,1,3,60,125,1644.0
19,1,4,60,101,1543.0
19,1,5,60,142,1401.0
19,1,6,60,97,1304.0
